configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,55618719,82.63,16.76, 1:03.61,156,479,9.72,22271.66
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,24346111,194.31,37.0, 1:14.94,308,479,7.89,9749.03
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,8425303,159.35,27.22, 1:13.01,255,479,8.16,3373.78
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,9402195,190.09,26.61, 1:13.27,295,479,8.12,3764.96
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,66993387,458.83,22.45, 1:12.38,664,479,8.41,26826.47
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,68710404,311.29,21.18, 1:11.54,464,479,8.51,27514.02
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,32655493,163.55,20.58, 1:10.49,261,479,8.58,13076.39
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,36111231,176.53,21.43, 1:11.47,276,479,8.54,14460.19
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,23517943,210.86,20.62, 1:14.64,310,479,8.09,9417.4
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,22752510,213.35,21.73, 1:10.61,332,479,8.53,9110.89
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,10208657,184.51,21.21, 1:11.38,288,479,8.54,4087.9
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,29851693,106.57,19.53, 1:08.30,184,479,8.9,11953.65
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,72374921,317.53,21.99, 1:08.38,496,479,8.93,28981.42
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,25149587,240.84,22.75, 1:08.53,384,479,8.88,10070.77
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,24636330,261.73,22.05, 1:13.20,387,479,8.24,9865.24
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,22696523,238.39,21.85, 1:12.51,358,479,8.37,9088.47
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,10851088,241.86,22.22, 1:12.25,365,479,8.41,4345.15
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,25577236,266.4,20.73, 1:09.24,414,479,8.77,10242.01
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,25157112,241.27,23.63, 1:12.42,365,479,8.39,10073.78
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,32294774,247.65,22.83, 1:11.92,376,479,8.46,12931.95
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,20651083,359.76,73.92, 1:29.72,483,479,6.38,8269.41
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,20645599,358.83,34.92, 1:18.29,502,479,7.58,8267.21
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,29851693,108.68,17.99, 1:07.40,187,479,9.15,11953.65
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,9521180,324.09,34.94, 1:18.35,458,479,7.57,3812.61
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,20751098,349.06,34.83, 1:18.08,491,479,7.53,8309.46
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,22658133,363.99,28.98, 1:28.41,444,479,6.54,9073.1
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,20376412,226.42,30.47, 1:13.66,348,479,8.16,8159.42
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,27154723,338.92,36.47, 1:15.76,495,479,7.91,10873.69
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,22026154,232.6,28.86, 1:14.19,352,479,8.11,8820.03
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,22273160,220.41,23.0, 1:11.96,338,479,8.47,8918.94
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,22932503,226.81,20.62, 1:12.93,339,479,8.3,9182.97
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,26588753,228.0,22.98, 1:11.89,349,479,8.34,10647.06
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,62158279,230.61,21.78, 1:11.96,350,479,8.47,24890.33
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,55361625,84.91,18.33, 1:06.60,155,479,9.31,22168.71
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,60504101,261.49,23.62, 1:12.73,391,479,8.29,24227.94
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,60273626,279.5,22.2, 1:12.15,418,479,8.43,24135.65
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,60021491,250.8,22.75, 1:10.43,388,479,8.57,24034.68
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,25157112,242.59,22.42, 1:11.83,368,479,8.47,10073.78
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,57334851,268.17,21.47, 1:09.14,418,479,8.92,22958.86
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,9395109,159.42,19.54, 1:08.92,259,479,8.92,3762.13
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,52629691,200.91,20.24, 1:08.52,322,479,8.93,21074.75
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,31271480,1475.73,23.27, 1:24.50,1773,479,6.85,12522.18
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,9200620,1457.5,23.7, 1:23.21,1780,479,7.01,3684.25
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,9916613,421.2,26.79, 1:15.40,594,479,7.88,3970.96
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,55618719,85.41,19.08, 1:08.30,152,479,8.91,22271.66
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,11746895,447.53,22.94, 1:12.83,645,479,8.24,4703.86
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,46978188,934.8,20.2, 1:13.29,1303,479,8.25,18811.69
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,9641627,331.6,20.74, 1:11.12,495,479,8.45,3860.84
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,52622655,1157.41,20.27, 1:15.92,1551,479,7.79,21071.93
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,33013196,448.09,23.53, 1:12.80,647,479,8.29,13219.63
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,27110002,371.51,23.16, 1:11.80,549,479,8.37,10855.78
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,14093096,204.76,22.18, 1:08.30,332,479,8.94,5643.36
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,45913143,486.8,22.36, 1:11.39,713,479,8.54,18385.21
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,47544809,527.95,23.55, 1:12.87,756,479,8.33,19038.59
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,69163803,335.54,22.25, 1:11.71,498,479,8.51,27695.58
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,55618719,85.11,19.15, 1:08.52,152,479,9.0,22271.66
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,79692313,791.92,22.19, 1:13.59,1106,479,8.24,31911.56
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,72661984,532.54,22.84, 1:11.88,772,479,8.37,29096.37
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,72771314,522.58,23.07, 1:10.19,777,479,8.62,29140.15
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,73259184,526.44,21.35, 1:12.54,755,479,8.35,29335.51
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,63894994,317.9,22.7, 1:11.17,478,479,8.59,25585.77
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,40542644,412.06,22.06, 1:11.26,609,479,8.47,16234.68
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,23526160,621.13,23.83, 1:15.06,859,479,7.95,9420.69
