configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,10674432,1.32, 0.18, 0:00.36, 414, 599 , 2529.07 , 4276.90
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,5175534,6.22, 0.26, 0:01.22, 528, 599 , 540.39 , 2073.67
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,7255875,6.32, 0.25, 0:01.17, 559, 599 , 570.41 , 2907.20
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,7260888,6.71, 0.23, 0:01.21, 572, 599 , 548.10 , 2909.20
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,4753057,10.46, 0.20, 0:01.69, 629, 599 , 380.33 , 1904.40
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,4783373,6.64, 0.28, 0:01.07, 647, 599 , 632.16 , 1916.54
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7099873,7.01, 0.25, 0:01.37, 529, 599 , 481.62 , 2844.69
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6975144,7.34, 0.22, 0:01.40, 539, 599 , 468.82 , 2794.72
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4926410,4.93, 0.23, 0:00.97, 528, 599 , 702.25 , 1973.85
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4995348,5.59, 0.19, 0:01.02, 563, 599 , 660.33 , 2001.48
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,8293563,6.63, 0.23, 0:01.24, 550, 599 , 534.29 , 3322.96
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6968204,1.78, 0.17, 0:00.32, 595, 599 , 2662.57 , 2791.93
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,4778509,6.84, 0.25, 0:01.12, 634, 599 , 601.35 , 1914.59
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,5192842,6.35, 0.28, 0:01.13, 583, 599 , 592.35 , 2080.60
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5160613,7.92, 0.26, 0:01.35, 602, 599 , 484.21 , 2067.69
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4953658,5.88, 0.23, 0:01.09, 558, 599 , 619.14 , 1984.77
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,8252223,9.13, 0.28, 0:01.54, 609, 599 , 418.50 , 3306.40
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,5136626,7.40, 0.23, 0:01.31, 582, 599 , 504.88 , 2058.08
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5166842,6.19, 0.27, 0:01.09, 588, 599 , 613.01 , 2070.19
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5763359,7.21, 0.22, 0:01.29, 573, 599 , 513.17 , 2309.19
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,4930523,6.33, 0.25, 0:01.12, 587, 599 , 591.81 , 1975.50
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,4859435,6.34, 0.18, 0:01.11, 586, 599 , 597.17 , 1947.02
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6968204,2.00, 0.20, 0:00.38, 579, 599 , 2148.52 , 2791.93
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,8237709,6.80, 0.25, 0:01.20, 587, 599 , 557.34 , 3300.58
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,4952496,6.24, 0.25, 0:01.12, 575, 599 , 599.37 , 1984.31
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,5019304,6.24, 0.26, 0:01.11, 585, 599 , 596.03 , 2011.07
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,6241955,6.00, 0.22, 0:01.01, 616, 599 , 664.69 , 2500.95
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,6241956,5.94, 0.19, 0:00.99, 619, 599 , 679.40 , 2500.95
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,6293818,6.13, 0.23, 0:01.02, 620, 599 , 666.56 , 2521.73
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5170751,6.28, 0.29, 0:01.09, 602, 599 , 621.33 , 2071.75
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5180043,5.77, 0.28, 0:00.99, 608, 599 , 689.15 , 2075.48
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5729943,8.44, 0.31, 0:01.44, 607, 599 , 450.12 , 2295.80
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4653236,4.46, 0.17, 0:00.66, 703, 599 , 1073.71 , 1864.40
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,10671731,1.32, 0.17, 0:00.34, 433, 599 , 2620.88 , 4275.82
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4837124,5.87, 0.23, 0:00.90, 673, 599 , 756.92 , 1938.08
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4829917,6.08, 0.25, 0:00.92, 683, 599 , 745.00 , 1935.19
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,4826915,5.50, 0.25, 0:00.86, 663, 599 , 802.26 , 1933.99
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,5166842,6.90, 0.24, 0:01.22, 585, 599 , 546.28 , 2070.19
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4328730,6.20, 0.20, 0:01.07, 597, 599 , 630.01 , 1734.38
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,9042752,7.88, 0.24, 0:01.46, 556, 599 , 447.73 , 3623.14
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4321099,5.10, 0.19, 0:00.89, 590, 599 , 767.85 , 1731.33
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,5368304,59.32, 0.36, 0:10.08, 592, 599 , 60.20 , 2150.91
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,8088175,83.51, 0.45, 0:13.11, 640, 599 , 46.15 , 3240.67
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,7602309,31.79, 0.41, 0:05.14, 626, 599 , 119.57 , 3046.00
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,10674432,1.44, 0.14, 0:00.36, 441, 599 , 2438.19 , 4276.90
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,8298081,13.80, 0.35, 0:02.38, 595, 599 , 266.27 , 3324.77
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3962601,31.47, 0.29, 0:06.29, 504, 599 , 96.80 , 1587.69
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,8483217,33.90, 0.36, 0:05.88, 582, 599 , 103.95 , 3398.95
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4399335,44.48, 0.35, 0:08.05, 556, 599 , 75.51 , 1762.67
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,5754233,18.18, 0.38, 0:03.72, 498, 599 , 166.40 , 2305.54
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,5133908,11.95, 0.27, 0:02.17, 561, 599 , 290.18 , 2056.99
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,9105091,8.96, 0.28, 0:01.67, 554, 599 , 387.67 , 3648.12
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,7083980,18.54, 0.27, 0:03.63, 517, 599 , 170.59 , 2838.32
