configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,80068306,16.93,1.76, 0:02.45,762,599,334.01,32048.74
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,30934930,62.62,1.92, 0:05.09,1267,599,134.71,12382.25
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,40903994,64.52,1.57, 0:04.66,1417,599,148.9,16372.54
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,41201752,75.67,1.65, 0:04.49,1718,599,156.51,16491.72
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,23458076,135.14,1.82, 0:07.58,1805,599,86.24,9389.51
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,23230524,71.26,1.35, 0:04.81,1509,599,143.28,9298.42
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,63494615,68.22,1.5, 0:04.93,1414,599,140.37,25414.83
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,59489943,70.66,1.43, 0:04.99,1444,599,138.72,23811.89
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,29549858,50.07,1.38, 0:04.61,1114,599,150.49,11827.85
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,29588903,54.35,1.91, 0:04.32,1302,599,162.44,11843.48
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,45811325,59.16,1.4, 0:04.28,1413,599,160.57,18336.78
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30555551,23.04,1.23, 0:02.16,1123,599,369.62,12230.39
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,24989706,77.11,1.61, 0:05.62,1399,599,119.99,10002.57
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,32264552,70.76,1.63, 0:05.10,1419,599,134.53,12914.45
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,32157846,84.93,1.57, 0:05.44,1588,599,124.52,12871.74
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,29768087,63.18,1.76, 0:04.89,1325,599,140.72,11915.2
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,47586009,103.72,1.68, 0:06.14,1714,599,108.78,19047.13
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,34817684,89.84,1.53, 0:07.51,1215,599,87.35,13936.39
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,32203846,81.28,1.51, 0:05.27,1568,599,128.74,12890.15
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35820506,78.44,1.54, 0:05.06,1578,599,133.03,14337.78
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,28754373,71.04,1.99, 0:05.83,1251,599,115.54,11509.44
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,28539379,69.59,2.11, 0:05.67,1262,599,118.76,11423.39
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30555551,23.49,1.32, 0:02.26,1097,599,365.06,12230.39
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,44624500,74.92,2.12, 0:05.51,1397,599,120.64,17861.74
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,28884293,67.67,2.29, 0:05.44,1284,599,124.57,11561.44
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,31231152,77.17,1.85, 0:08.47,932,599,76.41,12500.82
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,27573465,73.37,1.86, 0:04.69,1602,599,147.76,11036.76
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,27573466,67.76,1.76, 0:04.61,1506,599,151.28,11036.76
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,27859252,68.42,2.02, 0:04.70,1498,599,144.73,11151.15
