configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3418758,2.07,0.26, 0:00.47,494,599,1842.29,1368.42
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1762488,7.22,0.37, 0:01.26,600,599,542.07,705.47
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,1681139,6.89,0.3, 0:00.97,736,599,739.07,672.91
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,1688903,7.14,0.29, 0:00.99,747,599,722.72,676.01
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,2465937,18.49,0.38, 0:02.75,684,599,231.16,987.03
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,2476020,10.71,0.3, 0:01.37,799,599,495.47,991.07
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2213655,7.65,0.37, 0:01.24,647,599,565.68,886.05
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2401176,6.06,0.31, 0:00.98,645,599,729.7,961.11
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1579887,6.63,0.35, 0:01.06,659,599,679.6,632.38
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1766234,7.52,0.24, 0:01.12,691,599,613.87,706.97
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,2166552,7.19,0.29, 0:01.19,626,599,569.12,867.2
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2006253,2.65,0.25, 0:00.52,557,599,1669.23,803.04
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,2407235,9.51,0.21, 0:01.24,779,599,555.38,963.54
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1855645,8.64,0.32, 0:01.26,710,599,548.16,742.75
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1819456,8.6,0.3, 0:01.15,770,599,611.98,728.27
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1625520,7.95,0.33, 0:01.18,702,599,593.55,650.64
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,2361496,11.67,0.36, 0:01.53,782,599,440.06,945.23
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1708035,9.52,0.39, 0:01.58,625,599,421.94,683.67
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1821246,9.48,0.35, 0:01.30,754,599,527.84,728.99
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2140543,9.2,0.38, 0:01.30,733,599,525.31,856.79
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1612888,8.34,0.32, 0:01.19,727,599,588.56,645.59
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1561470,8.86,0.4, 0:01.38,670,599,492.57,625.01
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2006253,2.96,0.26, 0:00.52,611,599,1679.71,803.04
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,2152065,7.82,0.26, 0:01.05,764,599,656.07,861.4
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1607957,7.84,0.31, 0:01.13,716,599,611.14,643.61
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1559141,9.3,0.31, 0:01.51,633,599,442.87,624.07
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,2309963,9.36,0.36, 0:01.18,823,599,586.01,924.6
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,2309964,8.12,0.32, 0:01.00,840,599,709.46,924.6
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,2490766,9.55,0.31, 0:01.15,853,599,608.11,996.97
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1679225,7.02,0.31, 0:00.98,746,599,716.18,672.14
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1689711,7.69,0.29, 0:01.08,736,599,642.09,676.34
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1906537,8.29,0.27, 0:01.12,762,599,616.3,763.12
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,2225522,6.32,0.32, 0:00.74,891,599,992.16,890.8
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3395600,2.1,0.26, 0:00.50,474,599,1766.59,1359.15
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,2528073,8.9,0.28, 0:01.05,871,599,677.12,1011.91
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,2525938,10.01,0.33, 0:01.14,905,599,612.57,1011.05
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,2518556,9.56,0.31, 0:01.19,828,599,588.9,1008.1
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,1821246,8.74,0.36, 0:01.23,737,599,561.93,728.99
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2106119,9.25,0.22, 0:01.36,693,599,497.03,843.01
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,2371617,9.64,0.34, 0:01.43,696,599,472.72,949.28
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2081652,7.44,0.26, 0:01.00,764,599,706.1,833.22
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,1842785,50.66,0.5, 0:08.52,600,599,71.73,737.61
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,2094773,52.0,0.53, 0:06.74,778,599,91.17,838.47
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,2050677,29.92,0.43, 0:04.00,758,599,156.1,820.82
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3418758,2.06,0.19, 0:00.46,488,599,1857.12,1368.42
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,2492530,21.68,0.41, 0:02.95,747,599,213.34,997.68
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1810567,33.92,0.37, 0:06.71,510,599,91.47,724.71
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,2207794,30.04,0.4, 0:04.39,692,599,141.83,883.71
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1977452,39.05,0.28, 0:08.05,488,599,75.75,791.51
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1979585,18.02,0.46, 0:02.74,674,599,233.1,792.36
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1714213,14.08,0.33, 0:01.97,728,599,332.48,686.14
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,2659527,9.86,0.27, 0:01.41,718,599,475.02,1064.52
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,2852359,19.83,0.44, 0:03.04,665,599,207.91,1141.71
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,2989594,22.51,0.34, 0:03.54,644,599,177.45,1196.64
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2478225,10.67,0.29, 0:01.34,816,599,497.72,991.95
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,3418758,2.12,0.3, 0:00.50,476,599,1714.9,1368.42
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2816756,22.93,0.42, 0:04.38,532,599,142.27,1127.46
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2452552,17.56,0.39, 0:02.80,639,599,226.04,981.68
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,2451057,17.45,0.37, 0:02.76,645,599,230.33,981.08
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,2442660,16.99,0.44, 0:02.73,638,599,233.25,977.72
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2198759,10.05,0.32, 0:01.23,841,599,561.16,880.09
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,2528062,15.27,0.38, 0:02.01,779,599,324.89,1011.9
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,1592458,25.96,0.43, 0:03.83,688,599,163.97,637.41
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1810167,18.18,0.37, 0:02.73,679,599,232.05,724.55
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,1804414,24.49,0.5, 0:03.40,733,599,185.32,722.25
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,1679241,19.98,0.53, 0:02.60,788,599,246.73,672.15
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,3418758,2.23,0.27, 0:00.51,488,599,1732.66,1368.42
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,1694805,10.4,0.41, 0:02.04,528,599,315.46,678.38
