configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,17082762,12.16, 1.48, 0:02.30, 593, 600 , 370.92 , 6833.10
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,10016694,49.81, 1.74, 0:06.74, 764, 600 , 99.38 , 4006.68
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,8019113,37.43, 1.49, 0:04.31, 901, 600 , 160.67 , 3207.65
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,8388387,50.17, 1.77, 0:04.88, 1062, 600 , 143.39 , 3355.35
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,12101112,110.65, 1.92, 0:05.97, 1882, 600 , 112.92 , 4840.44
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,12472080,58.78, 1.79, 0:03.71, 1630, 600 , 197.51 , 4988.83
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,13144673,33.10, 1.34, 0:03.19, 1078, 600 , 240.61 , 5257.87
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,13168492,35.40, 1.25, 0:03.02, 1212, 600 , 245.74 , 5267.40
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,8997282,36.71, 1.64, 0:03.95, 970, 600 , 183.24 , 3598.91
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9891710,38.48, 1.89, 0:04.19, 962, 600 , 170.51 , 3956.68
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,8454859,37.18, 1.85, 0:04.68, 833, 600 , 150.87 , 3381.94
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13263959,17.67, 1.40, 0:02.27, 837, 600 , 367.64 , 5305.58
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,11624186,72.23, 1.64, 0:05.91, 1249, 600 , 114.44 , 4649.67
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,9694175,50.82, 1.65, 0:05.05, 1037, 600 , 135.88 , 3877.67
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9659393,57.56, 1.56, 0:04.58, 1290, 600 , 150.32 , 3863.76
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,8657205,49.67, 1.89, 0:04.95, 1041, 600 , 140.16 , 3462.88
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,8334270,61.33, 1.66, 0:04.90, 1284, 600 , 139.50 , 3333.71
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,9410731,68.48, 1.45, 0:07.33, 954, 600 , 88.91 , 3764.29
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9690530,50.68, 1.62, 0:04.90, 1067, 600 , 138.50 , 3876.21
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,11816766,51.16, 1.94, 0:04.72, 1125, 600 , 148.76 , 4726.71
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,9343025,49.16, 2.35, 0:05.85, 879, 600 , 115.88 , 3737.21
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,9337315,50.04, 2.31, 0:05.54, 945, 600 , 123.02 , 3734.93
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13263959,18.49, 1.74, 0:02.39, 846, 600 , 346.84 , 5305.58
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,8257332,46.07, 2.03, 0:05.63, 853, 600 , 121.92 , 3302.93
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,9360581,50.38, 2.20, 0:05.88, 893, 600 , 113.04 , 3744.23
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,8958860,63.48, 2.14, 0:08.18, 802, 600 , 79.96 , 3583.54
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,10012619,49.56, 1.94, 0:04.97, 1035, 600 , 139.87 , 4005.05
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,9992153,51.34, 2.14, 0:05.09, 1049, 600 , 135.81 , 3996.86
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,10273947,52.48, 1.75, 0:04.91, 1103, 600 , 138.26 , 4109.58
