configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,29634759,9.14, 1.06, 0:01.78, 573, 500 , 388.12 , 11853.90
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,15854451,36.29, 1.53, 0:04.31, 877, 500 , 133.58 , 6341.78
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,17603557,34.89, 1.50, 0:03.46, 1049, 500 , 172.55 , 7041.42
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,17657071,42.65, 1.28, 0:03.40, 1292, 500 , 176.19 , 7062.83
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,13408278,60.80, 1.49, 0:03.86, 1610, 500 , 151.92 , 5363.31
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,14373418,47.22, 1.23, 0:03.07, 1578, 500 , 192.87 , 5749.37
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20824857,32.15, 1.47, 0:03.35, 1003, 500 , 182.23 , 8329.94
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20894681,32.13, 1.11, 0:02.96, 1121, 500 , 211.46 , 8357.87
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,15459972,29.61, 1.28, 0:03.48, 886, 500 , 167.07 , 6183.99
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,15930559,32.39, 1.27, 0:03.22, 1045, 500 , 182.81 , 6372.22
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,17937376,31.83, 1.09, 0:03.45, 954, 500 , 168.63 , 7174.95
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,21354429,14.32, 1.39, 0:01.96, 798, 500 , 351.19 , 8541.77
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,15967590,46.54, 1.39, 0:04.51, 1060, 500 , 126.82 , 6387.04
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,16465086,38.96, 1.36, 0:03.91, 1030, 500 , 145.82 , 6586.03
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,16406253,45.44, 1.56, 0:04.20, 1119, 500 , 137.94 , 6562.50
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,15298586,36.01, 1.61, 0:03.84, 978, 500 , 153.42 , 6119.43
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,16481596,43.74, 1.65, 0:03.80, 1192, 500 , 154.03 , 6592.64
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,16378876,51.44, 1.50, 0:05.78, 915, 500 , 95.72 , 6551.55
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,16460804,43.19, 1.48, 0:04.17, 1070, 500 , 138.66 , 6584.32
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,18928443,42.30, 1.31, 0:04.10, 1061, 500 , 141.78 , 7571.38
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,15108894,39.45, 2.14, 0:04.40, 945, 500 , 127.98 , 6043.56
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,15100781,40.15, 1.92, 0:03.86, 1088, 500 , 151.16 , 6040.31
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,21354429,14.19, 1.17, 0:01.92, 799, 500 , 368.54 , 8541.77
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,17242311,37.37, 1.89, 0:04.11, 953, 500 , 137.14 , 6896.92
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,15119662,39.18, 1.97, 0:04.28, 960, 500 , 134.15 , 6047.86
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,15155809,48.86, 2.07, 0:07.14, 712, 500 , 76.02 , 6062.32
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,15179158,39.15, 1.88, 0:03.64, 1124, 500 , 162.30 , 6071.66
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,14796021,37.13, 1.75, 0:03.36, 1156, 500 , 179.74 , 5918.41
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,15432005,40.82, 1.67, 0:03.63, 1167, 500 , 163.16 , 6172.80
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,15620272,33.01, 1.80, 0:03.32, 1046, 500 , 182.37 , 6248.11
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,15796471,36.63, 1.75, 0:03.57, 1072, 500 , 166.21 , 6318.59
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,18156886,38.53, 1.49, 0:03.41, 1173, 500 , 177.18 , 7262.75
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,14431457,32.04, 1.50, 0:02.65, 1266, 500 , 238.95 , 5772.58
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,29595389,9.71, 1.01, 0:01.76, 608, 500 , 389.86 , 11838.16
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,15090172,38.03, 1.29, 0:02.60, 1507, 500 , 235.32 , 6036.07
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,14101547,46.34, 1.37, 0:02.90, 1642, 500 , 206.41 , 5640.62
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,14957246,37.45, 1.29, 0:02.88, 1342, 500 , 215.48 , 5982.90
