configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30482050,10.72,1.42, 0:02.16,561,1000,602.11,12192.82
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,15190705,40.94,1.45, 0:05.61,755,1000,195.5,6076.28
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,15804728,35.63,1.43, 0:04.64,797,1000,244.06,6321.89
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,15801835,42.69,1.23, 0:04.65,944,1000,246.12,6320.73
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,18229273,58.6,1.32, 0:05.20,1150,1000,212.01,7291.71
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,18495036,45.38,1.22, 0:04.02,1158,1000,283.33,7398.01
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,19038399,30.02,0.96, 0:03.17,975,1000,375.63,7615.36
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,18639042,33.0,1.16, 0:03.35,1018,1000,352.22,7455.62
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,16582834,33.89,1.23, 0:05.31,661,1000,207.12,6633.13
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,16087095,37.63,1.77, 0:05.20,756,1000,212.57,6434.84
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,17365543,36.54,2.06, 0:05.62,686,1000,198.15,6946.22
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,20685014,14.46,1.56, 0:02.23,718,1000,595.92,8274.01
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,18548744,57.59,1.39, 0:06.88,856,1000,158.43,7419.5
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,17840101,49.18,1.56, 0:06.31,803,1000,174.85,7136.04
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,17466071,52.75,1.51, 0:05.99,904,1000,185.62,6986.43
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,16693670,44.79,1.61, 0:06.10,760,1000,180.96,6677.47
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,19080573,56.37,1.56, 0:06.36,910,1000,172.93,7632.23
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,17765754,60.37,1.64, 0:09.19,674,1000,116.24,7106.3
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,17839720,45.95,1.23, 0:05.15,916,1000,214.9,7135.89
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,20354674,49.41,1.48, 0:05.83,872,1000,191.06,8141.87
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,15083514,49.99,1.74, 0:07.22,715,1000,150.98,6033.41
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,15072279,48.93,1.67, 0:06.94,728,1000,156.35,6028.91
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,20685014,14.7,1.55, 0:02.25,720,1000,592.05,8274.01
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,16115769,46.47,1.57, 0:06.73,713,1000,160.43,6446.31
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,15093451,49.35,2.14, 0:07.33,701,1000,146.57,6037.38
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,15873915,56.78,1.46, 0:11.40,510,1000,92.52,6349.57
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,13815207,49.33,1.96, 0:05.60,914,1000,199.04,5526.08
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,14950991,46.88,1.97, 0:05.71,855,1000,191.24,5980.4
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,14176553,47.68,2.13, 0:05.16,965,1000,217.86,5670.62
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,16326587,35.28,1.38, 0:04.16,880,1000,280.53,6530.63
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,16581789,40.73,1.45, 0:04.67,903,1000,239.74,6632.72
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,17832532,40.73,1.56, 0:04.42,955,1000,254.95,7133.01
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,17444443,31.77,1.24, 0:03.03,1087,1000,392.36,6977.78
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30472043,10.97,1.37, 0:02.19,563,1000,589.53,12188.82
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,18181267,38.45,1.32, 0:03.29,1208,1000,366.82,7272.51
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,18167099,41.24,1.35, 0:03.35,1271,1000,363.0,7266.84
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,17869287,35.48,1.56, 0:03.30,1121,1000,367.24,7147.71
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,17839720,46.72,1.49, 0:05.83,827,1000,191.55,7135.89
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,19965185,55.9,1.24, 0:06.95,821,1000,156.39,7986.07
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,18868976,43.58,1.49, 0:05.26,856,1000,214.67,7547.59
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,19484721,39.67,1.0, 0:04.67,871,1000,240.78,7793.89
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,18933558,299.93,1.33, 0:23.61,1275,1000,43.28,7573.42
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,16944442,408.91,1.78, 0:31.42,1306,1000,32.41,6777.78
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,17198863,148.84,1.4, 0:14.06,1067,1000,74.12,6879.55
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30482050,9.79,1.42, 0:02.21,507,1000,621.7,12192.82
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,19413841,91.03,1.63, 0:10.51,881,1000,99.87,7765.54
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,18381947,195.14,2.66, 0:20.91,945,1000,49.04,7352.78
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,18767647,150.97,1.47, 0:17.47,872,1000,59.15,7507.06
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,19883900,230.13,2.5, 0:25.78,902,1000,39.69,7953.56
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,20187904,113.56,1.76, 0:11.28,1021,1000,93.11,8075.16
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,17691140,82.45,1.55, 0:08.41,998,1000,126.59,7076.46
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,21641047,47.36,1.51, 0:06.37,766,1000,169.87,8656.42
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,20800940,110.37,1.37, 0:11.23,994,1000,93.19,8320.38
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,20946879,116.18,1.51, 0:11.44,1028,1000,91.49,8378.75
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,18562587,53.41,1.32, 0:04.68,1167,1000,242.29,7425.03
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,30482050,10.14,1.54, 0:02.20,530,1000,607.87,12192.82
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,21012736,115.48,1.44, 0:10.48,1115,1000,100.81,8405.09
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,18652553,79.98,1.35, 0:07.02,1158,1000,155.77,7461.02
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,18660460,79.94,1.42, 0:06.90,1178,1000,157.69,7464.18
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,18611315,82.15,1.43, 0:07.23,1155,1000,150.64,7444.53
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,17568226,49.32,1.3, 0:04.40,1150,1000,256.34,7027.29
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,18422211,77.49,1.52, 0:07.33,1077,1000,147.77,7368.88
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,15054059,158.52,1.92, 0:16.02,1001,1000,64.77,6021.62
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,15826883,122.29,1.43, 0:14.56,849,1000,71.39,6330.75
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,15771398,171.52,1.93, 0:16.24,1067,1000,63.81,6308.56
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,15455564,117.82,1.62, 0:09.72,1228,1000,109.0,6182.23
