configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,90341162,18.17, 1.19, 0:02.15, 897, 599 , 376.87 , 36160.63
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,44093668,82.25, 1.55, 0:06.72, 1245, 599 , 97.31 , 17649.26
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,54683910,79.60, 1.66, 0:05.41, 1501, 599 , 125.83 , 21888.19
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,55243502,91.72, 1.74, 0:05.48, 1705, 599 , 123.64 , 22112.18
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,43825166,161.42, 1.65, 0:07.86, 2074, 599 , 83.20 , 17541.79
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,45100704,90.71, 1.73, 0:04.73, 1953, 599 , 147.26 , 18052.35
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,63506706,65.10, 1.37, 0:03.85, 1724, 599 , 188.45 , 25419.67
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,59520652,61.88, 1.33, 0:03.84, 1645, 599 , 190.44 , 23824.18
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,42439131,60.23, 1.56, 0:04.86, 1269, 599 , 138.76 , 16987.00
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,44305940,67.07, 1.63, 0:05.27, 1302, 599 , 129.78 , 17734.23
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,59588992,69.68, 1.77, 0:05.04, 1417, 599 , 136.50 , 23851.54
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,69611340,25.31, 1.40, 0:02.37, 1125, 599 , 342.68 , 27863.16
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,41896618,126.65, 1.50, 0:07.62, 1680, 599 , 86.09 , 16769.85
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,45201022,89.63, 1.93, 0:05.70, 1604, 599 , 118.61 , 18092.50
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,44981226,108.80, 1.83, 0:05.98, 1848, 599 , 112.36 , 18004.52
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,41607348,88.07, 1.41, 0:05.82, 1536, 599 , 113.56 , 16654.07
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,59494073,117.28, 1.55, 0:05.98, 1985, 599 , 110.31 , 23813.54
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,42984119,130.68, 1.63, 0:09.01, 1467, 599 , 71.62 , 17205.15
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,45198987,91.01, 1.53, 0:05.17, 1788, 599 , 132.52 , 18091.69
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,57538810,97.16, 1.37, 0:05.48, 1797, 599 , 121.52 , 23030.92
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,41901376,94.01, 1.93, 0:06.42, 1493, 599 , 102.31 , 16771.76
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,41864919,88.27, 1.79, 0:05.89, 1527, 599 , 111.96 , 16757.17
