configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,105286325,15.19,1.13, 0:01.94,839,500,355.26,42114.53
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,55031865,67.94,1.83, 0:05.84,1193,500,96.24,22012.75
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,75591424,68.47,1.75, 0:04.47,1568,500,129.37,30236.57
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,75527090,81.06,1.55, 0:04.40,1876,500,130.74,30210.84
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,41588282,100.61,1.55, 0:05.94,1719,500,92.13,16635.31
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,43022573,69.27,1.41, 0:03.94,1790,500,147.43,17209.03
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,74445361,66.94,1.23, 0:04.42,1542,500,128.55,29778.14
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,71298134,66.37,1.24, 0:04.39,1539,500,129.79,28519.25
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,53371481,48.68,1.3, 0:04.05,1232,500,141.48,21348.59
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,55032282,57.65,1.34, 0:04.25,1388,500,134.01,22012.91
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,80710370,65.0,1.65, 0:04.51,1478,500,128.94,32284.15
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,68744345,19.25,1.45, 0:02.16,955,500,317.94,27497.74
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,42013963,93.17,1.41, 0:05.51,1714,500,101.85,16805.59
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,58941658,76.59,1.63, 0:05.24,1492,500,108.37,23576.66
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,58689386,83.37,1.5, 0:05.04,1684,500,110.76,23475.75
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,54293649,65.22,1.43, 0:04.60,1447,500,122.59,21717.46
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,83927178,97.98,1.6, 0:05.40,1843,500,103.26,33570.87
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,58639702,97.18,1.65, 0:07.13,1384,500,76.72,23455.88
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,58870469,77.32,1.57, 0:05.10,1544,500,111.15,23548.19
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,64689451,84.02,1.66, 0:05.34,1602,500,105.5,25875.78
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,53862243,83.7,2.07, 0:05.74,1494,500,97.61,21544.9
