configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,172218519,60.87,6.76, 0:14.62,462,600,60.56,68818.59
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,82357210,253.67,9.23, 0:18.72,1404,600,37.54,32909.98
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,70044965,220.86,8.75, 0:16.69,1375,600,43.63,27990.0
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,71151452,248.34,7.91, 0:16.12,1588,600,45.61,28432.15
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,81498534,565.19,7.94, 0:18.97,3020,600,37.09,32566.85
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,84786122,305.99,7.61, 0:17.83,1758,600,40.45,33880.57
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,99477207,192.36,6.18, 0:16.48,1204,600,43.73,39751.13
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,98782802,163.52,7.22, 0:16.81,1015,600,43.5,39473.65
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,82476129,203.85,7.51, 0:17.70,1193,600,40.6,32957.5
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,85910993,223.17,7.53, 0:17.18,1342,600,41.98,34330.07
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,89369749,209.16,7.07, 0:16.79,1287,600,43.76,35712.19
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,108844804,95.53,6.84, 0:12.53,816,600,61.9,43494.43
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,88238971,493.56,7.05, 0:17.69,2829,600,41.55,35260.33
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,89133361,354.12,7.09, 0:17.94,2013,600,40.29,35617.73
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,89005011,385.93,7.55, 0:17.55,2241,600,41.21,35566.44
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,82077091,320.92,6.87, 0:17.44,1879,600,41.72,32798.04
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,92276344,401.6,7.73, 0:18.21,2247,600,39.55,36873.67
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,89029259,478.45,6.64, 0:19.71,2460,600,35.86,35576.13
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,88969579,340.7,7.55, 0:18.17,1916,600,39.39,35552.28
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,98050429,369.54,7.8, 0:18.54,2035,600,38.62,39180.99
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,77869454,340.9,10.82, 0:18.37,1914,600,38.66,31116.67
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,77277935,329.59,10.18, 0:17.61,1929,600,40.85,30880.3
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,108844804,95.23,6.6, 0:13.47,755,600,56.21,43494.43
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,84348447,315.38,11.38, 0:18.38,1777,600,38.86,33705.67
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,77912735,329.21,10.71, 0:18.14,1873,600,39.56,31133.96
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,78507951,462.77,7.76, 0:24.63,1910,600,27.63,31371.81
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,74442078,307.16,9.29, 0:15.77,2005,600,46.68,29747.09
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,74442079,316.62,10.8, 0:16.77,1951,600,43.71,29747.09
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,77162221,306.8,9.88, 0:17.10,1851,600,42.43,30834.06
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,80712627,226.85,7.55, 0:17.35,1350,600,41.73,32252.8
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,82379048,237.6,8.63, 0:17.39,1415,600,41.52,32918.7
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,90252373,245.66,8.51, 0:17.32,1467,600,41.56,36064.89
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,75374995,211.92,8.34, 0:15.35,1434,600,48.44,30119.88
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,171925954,58.83,6.2, 0:12.28,529,600,63.55,68701.68
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,80641843,232.97,7.57, 0:16.09,1494,600,46.48,32224.51
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,79400474,263.63,8.54, 0:17.76,1531,600,40.61,31728.46
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,79411756,223.13,8.27, 0:16.07,1439,600,45.91,31732.97
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,88969579,329.96,7.83, 0:17.97,1878,600,39.91,35552.28
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,116215686,403.77,6.57, 0:17.04,2407,600,42.62,46439.84
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,102164474,289.29,7.53, 0:17.53,1693,600,40.94,40824.97
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,112492459,281.59,6.91, 0:16.11,1790,600,45.4,44952.03
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,94332443,2334.12,7.95, 1:04.33,3640,600,9.77,37695.28
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,90976384,4027.54,8.7, 1:32.31,4372,600,6.73,36354.2
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,86825298,1353.15,8.71, 0:36.76,3703,600,17.76,34695.43
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,172218519,60.16,6.69, 0:13.96,478,600,54.33,68818.59
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,94417892,965.17,7.87, 0:26.06,3733,600,25.94,37729.43
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,109595836,1629.92,7.42, 0:53.14,3080,600,11.91,43794.54
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,99363569,1133.12,7.4, 0:45.45,2509,600,14.12,39705.72
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,118351203,1759.49,7.21, 1:02.58,2823,600,10.05,47293.19
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,94892443,759.69,7.58, 0:29.48,2602,600,22.63,37919.06
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,88796473,603.69,7.65, 0:22.68,2694,600,30.81,35483.11
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,100387016,296.28,7.05, 0:17.34,1749,600,41.78,40114.69
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,100315116,699.46,6.54, 0:25.45,2773,600,26.57,40085.96
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,100911284,693.04,6.85, 0:25.10,2788,600,26.82,40324.19
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,85630569,399.13,6.64, 0:16.71,2428,600,43.1,34218.01
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,172218519,59.59,5.9, 0:12.39,528,600,62.99,68818.59
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,94512985,784.6,7.36, 0:28.22,2806,600,23.99,37767.43
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,87492151,576.53,7.23, 0:19.84,2941,600,35.44,34961.9
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,87705475,596.82,7.45, 0:21.02,2874,600,33.36,35047.14
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,87692265,619.64,6.78, 0:22.63,2767,600,30.47,35041.87
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,80190250,369.58,7.46, 0:16.70,2257,600,44.29,32044.06
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,94386593,541.74,6.93, 0:18.19,3016,600,39.19,37716.92
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,86652947,1355.58,8.54, 0:40.00,3409,600,16.22,34626.55
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,91320920,1066.69,7.64, 0:33.66,3190,600,19.58,36491.88
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,90267189,1500.13,8.67, 0:39.19,3849,600,16.49,36070.81
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,83842223,849.86,9.16, 0:25.82,3326,600,26.07,33503.39
