configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,65539420,12.54,1.42, 0:02.37,589,1199,649.92,26211.42
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,32229048,53.96,1.91, 0:06.38,874,1199,204.31,12889.48
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,48987124,59.64,1.77, 0:06.49,945,1199,200.37,19591.6
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,49555805,66.29,1.91, 0:06.87,992,1199,188.74,19819.04
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,21477941,84.77,2.3, 0:08.26,1053,1199,154.83,8589.75
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,22153845,58.33,1.96, 0:05.91,1019,1199,225.69,8860.07
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,39878454,48.63,2.01, 0:07.07,716,1199,186.98,15948.74
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,39374603,49.46,1.83, 0:07.40,692,1199,174.63,15747.23
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,29525097,41.55,1.69, 0:04.72,916,1199,285.03,11808.08
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,29468326,46.63,1.84, 0:05.54,874,1199,239.09,11785.38
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,55088854,57.41,1.96, 0:06.59,900,1199,197.52,22031.89
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,41293199,17.68,1.63, 0:02.42,796,1199,624.77,16514.54
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,22038971,66.4,2.01, 0:07.71,887,1199,169.03,8814.13
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,33081377,63.9,1.35, 0:06.63,983,1199,199.91,13230.36
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,32971873,71.83,1.88, 0:07.42,992,1199,175.93,13186.56
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,30166662,53.99,1.6, 0:05.44,1021,1199,249.07,12064.66
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,56106873,87.16,1.77, 0:08.54,1040,1199,151.26,22439.03
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,32413345,73.19,2.11, 0:08.78,856,1199,147.1,12963.19
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,32971222,63.39,1.59, 0:06.29,1033,1199,208.27,13186.3
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35803078,68.41,1.65, 0:07.25,965,1199,178.05,14318.86
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,29243540,60.26,3.26, 0:07.35,864,1199,177.77,11695.48
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,28923632,60.14,3.14, 0:06.75,936,1199,195.36,11567.53
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,41293199,18.84,1.59, 0:02.40,851,1199,662.74,16514.54
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,54103460,68.89,2.6, 0:07.98,895,1199,163.33,21637.8
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,29260820,58.44,1.76, 0:05.71,1053,1199,231.66,11702.39
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,29199058,68.39,2.23, 0:09.86,716,1199,128.35,11677.69
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,28662015,59.93,2.09, 0:05.83,1063,1199,231.72,11462.91
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,28833591,62.87,2.07, 0:06.05,1072,1199,220.99,11531.52
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,29393461,61.42,1.93, 0:05.99,1057,1199,223.61,11755.44
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,31106793,49.54,1.6, 0:05.08,1005,1199,264.55,12440.65
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,31739417,51.3,1.71, 0:05.17,1024,1199,261.48,12693.66
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,32574042,59.72,1.93, 0:06.76,911,1199,195.98,13027.46
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,19868862,37.85,2.04, 0:03.33,1197,1199,447.38,7946.23
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,65352516,12.45,1.36, 0:02.35,586,1199,655.43,26136.67
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,21453613,44.8,1.83, 0:03.71,1255,1199,376.16,8580.02
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,21430505,52.74,2.06, 0:04.49,1220,1199,310.62,8570.78
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,20942509,44.22,2.12, 0:04.36,1061,1199,321.68,8375.61
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,32971222,66.07,1.66, 0:06.73,1006,1199,196.6,13186.3
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,28353854,61.65,2.13, 0:09.81,649,1199,130.24,11339.66
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,68294276,73.74,2.46, 0:11.59,657,1199,109.31,27313.18
