configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9282945,2.14,0.22, 0:00.47,505,599,1906.82,3715.66
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2894609,6.97,0.33, 0:01.20,606,599,570.77,1158.62
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,3450327,5.77,0.23, 0:00.89,672,599,800.5,1381.05
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,3453046,6.01,0.37, 0:00.89,714,599,797.28,1382.14
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,4261607,8.43,0.26, 0:00.95,913,599,739.96,1705.78
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,4260778,6.09,0.24, 0:00.69,907,599,1071.56,1705.45
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3304638,5.88,0.36, 0:00.96,647,599,736.07,1322.74
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3357131,5.66,0.3, 0:00.95,622,599,746.13,1343.75
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2975122,5.15,0.36, 0:00.89,615,599,798.6,1190.84
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3053587,5.79,0.32, 0:00.90,678,599,797.64,1222.25
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,4780166,5.52,0.27, 0:00.88,656,599,818.34,1913.35
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6764162,2.41,0.23, 0:00.43,612,599,1926.84,2707.47
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3804892,7.76,0.16, 0:00.86,912,599,804.06,1522.97
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,3239624,6.92,0.27, 0:00.99,722,599,692.15,1296.72
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3166660,7.01,0.34, 0:00.94,777,599,755.95,1267.51
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3063298,6.67,0.27, 0:00.97,709,599,719.47,1226.14
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,4885047,8.84,0.3, 0:01.02,895,599,692.21,1955.33
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2854457,7.67,0.25, 0:01.13,698,599,601.53,1142.55
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3167303,7.35,0.28, 0:01.00,757,599,698.99,1267.77
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3652480,7.59,0.22, 0:00.97,805,599,706.32,1461.97
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2445931,6.82,0.31, 0:01.06,669,599,652.08,979.03
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,2324719,7.09,0.28, 0:01.03,712,599,676.87,930.51
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6764162,2.52,0.16, 0:00.43,613,599,1879.31,2707.47
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,3910908,7.36,0.29, 0:01.05,724,599,652.92,1565.41
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,2443335,6.77,0.23, 0:01.05,665,599,663.45,977.99
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2307333,6.96,0.27, 0:01.15,626,599,594.35,923.55
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,4365555,7.67,0.35, 0:00.84,954,599,857.95,1747.39
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,4425010,6.91,0.33, 0:00.79,912,599,924.32,1771.19
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,4829390,8.51,0.29, 0:00.91,965,599,789.03,1933.05
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2844015,5.03,0.27, 0:00.73,725,599,995.76,1138.37
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2851533,5.0,0.35, 0:00.74,721,599,1003.41,1141.38
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3237685,5.56,0.31, 0:00.79,735,599,930.68,1295.94
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3773366,4.15,0.21, 0:00.49,886,599,1620.5,1510.36
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9280008,2.25,0.19, 0:00.45,532,599,1892.45,3714.49
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3850144,5.28,0.25, 0:00.60,914,599,1305.12,1541.09
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3852235,5.7,0.26, 0:00.59,996,599,1257.33,1541.92
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,3848707,5.66,0.25, 0:00.63,934,599,1172.07,1540.51
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,3167303,6.77,0.37, 0:00.97,730,599,721.02,1267.77
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4003109,8.93,0.21, 0:01.63,559,599,402.66,1602.31
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,5880773,10.11,0.32, 0:01.90,546,599,340.04,2353.88
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4001655,8.74,0.2, 0:01.64,544,599,400.15,1601.73
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,3454762,38.67,0.47, 0:06.28,623,599,97.75,1382.83
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,4762453,44.63,0.43, 0:05.28,853,599,116.92,1906.26
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,4007364,27.4,0.38, 0:03.67,756,599,169.41,1604.02
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9282945,2.09,0.18, 0:00.41,545,599,2016.39,3715.66
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,4945157,14.51,0.34, 0:01.51,978,599,437.16,1979.39
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3826060,34.1,0.33, 0:08.37,411,599,72.84,1531.45
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,5928796,34.47,0.31, 0:08.29,419,599,73.37,2373.1
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4216211,43.56,0.29, 0:10.82,405,599,55.98,1687.61
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,3315880,14.55,0.39, 0:02.40,622,599,266.08,1327.24
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,2921230,10.16,0.27, 0:01.43,726,599,464.77,1169.27
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,5346869,7.93,0.29, 0:01.14,719,599,610.09,2140.18
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,6054907,18.31,0.37, 0:02.43,767,599,261.79,2423.58
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,6070695,19.45,0.3, 0:02.62,753,599,241.85,2429.9
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3807892,7.58,0.23, 0:00.81,959,599,890.34,1524.18
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,9282945,1.9,0.28, 0:00.43,497,599,2079.2,3715.66
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4454187,17.89,0.27, 0:02.18,829,599,291.08,1782.87
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3802877,11.59,0.17, 0:01.32,889,599,500.22,1522.17
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,3803619,11.69,0.29, 0:01.30,919,599,516.44,1522.47
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,3803416,11.45,0.29, 0:01.29,907,599,519.79,1522.38
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3751462,6.83,0.29, 0:00.76,937,599,962.21,1501.59
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,5191173,12.54,0.24, 0:01.42,898,599,471.1,2077.86
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,3485253,23.33,0.33, 0:03.82,619,599,162.43,1395.03
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3574696,13.48,0.34, 0:01.92,717,599,337.4,1430.83
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3556130,17.48,0.4, 0:02.03,877,599,317.28,1423.4
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,3388850,11.61,0.38, 0:01.45,822,599,455.57,1356.45
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,9282945,1.96,0.31, 0:00.44,516,599,1995.2,3715.66
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,3525544,6.89,0.42, 0:01.49,490,599,446.49,1411.16
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,4746732,12.5,0.38, 0:01.47,874,599,452.77,1899.96
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,5202500,18.08,0.26, 0:03.98,460,599,155.16,2082.39
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,7036204,14.18,0.33, 0:03.21,452,599,195.54,2816.36
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,6510825,8.57,0.38, 0:01.07,831,599,648.44,2606.07
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,5562024,14.89,0.27, 0:03.07,492,599,203.26,2226.3
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,4833740,9.94,0.28, 0:01.88,543,599,344.35,1934.79
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,2959518,9.02,0.19, 0:01.08,853,599,643.15,1184.6
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,3235284,9.62,0.3, 0:01.46,677,599,454.36,1294.98
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,3260056,13.1,0.34, 0:01.91,702,599,340.97,1304.89
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9282535,2.1,0.25, 0:00.45,515,599,1890.0,3715.5
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,3530224,13.59,0.37, 0:01.93,722,599,334.03,1413.03
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,5207866,14.37,0.34, 0:01.89,775,599,342.67,2084.54
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,3388769,4.33,0.33, 0:00.73,632,599,1016.05,1356.41
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,4739184,8.7,0.35, 0:01.11,810,599,615.7,1896.94
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,3388769,4.36,0.34, 0:00.75,627,599,1002.56,1356.41
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,2551885,19.1,1.1, 0:03.95,510,599,156.51,1021.44
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,2785096,9.75,0.97, 0:02.58,415,599,244.0,1114.78
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,2384914,28.42,1.0, 0:04.26,689,599,144.86,954.6
