configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,55352584,13.49, 1.07, 0:01.96, 743, 599 , 421.38 , 22155.84
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,25370444,54.54, 1.73, 0:05.03, 1118, 599 , 135.85 , 10154.96
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,37633889,54.25, 1.32, 0:03.97, 1397, 599 , 176.10 , 15063.62
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,38051138,64.39, 1.50, 0:03.98, 1651, 599 , 176.06 , 15230.63
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,19499817,116.98, 1.46, 0:06.43, 1839, 599 , 102.14 , 7805.14
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,20408731,66.01, 1.37, 0:04.11, 1636, 599 , 170.49 , 8168.95
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,36646180,44.73, 1.06, 0:03.13, 1462, 599 , 228.07 , 14668.27
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,35642554,47.25, 1.00, 0:03.50, 1377, 599 , 200.29 , 14266.56
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,23645312,44.48, 1.18, 0:03.56, 1281, 599 , 195.31 , 9464.45
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,24805896,50.70, 1.49, 0:04.03, 1293, 599 , 173.43 , 9928.99
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,40033688,50.42, 1.35, 0:03.85, 1343, 599 , 183.83 , 16024.18
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,33372558,18.85, 1.19, 0:01.99, 1004, 599 , 415.33 , 13357.95
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,19404655,85.75, 1.32, 0:05.47, 1589, 599 , 122.44 , 7767.05
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,25581578,65.72, 1.53, 0:04.85, 1384, 599 , 139.80 , 10239.47
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,25541201,72.52, 1.28, 0:04.93, 1495, 599 , 135.45 , 10223.31
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,23789547,61.13, 1.53, 0:04.68, 1339, 599 , 146.16 , 9522.18
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,41136795,86.22, 1.38, 0:05.20, 1683, 599 , 130.36 , 16465.72
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,25345230,88.54, 1.57, 0:06.90, 1304, 599 , 94.61 , 10144.87
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,25553017,62.99, 1.67, 0:04.51, 1432, 599 , 152.77 , 10228.04
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,29779695,63.64, 1.70, 0:04.51, 1447, 599 , 152.86 , 11919.84
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,24627181,63.14, 1.58, 0:04.82, 1341, 599 , 141.38 , 9857.46
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,24524706,62.91, 1.55, 0:04.63, 1390, 599 , 144.84 , 9816.44
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,33372558,18.39, 0.97, 0:01.93, 1001, 599 , 413.44 , 13357.95
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,40222973,70.47, 1.63, 0:05.25, 1371, 599 , 126.12 , 16099.95
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,24663219,62.74, 1.72, 0:05.07, 1271, 599 , 133.94 , 9871.88
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,24381353,85.17, 1.62, 0:07.81, 1111, 599 , 82.99 , 9759.06
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,25670562,72.57, 1.59, 0:04.06, 1826, 599 , 173.36 , 10275.09
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,25670563,60.85, 1.61, 0:03.99, 1562, 599 , 177.03 , 10275.09
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,25870311,72.80, 1.30, 0:04.35, 1701, 599 , 155.56 , 10355.04
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,25139975,49.47, 1.48, 0:03.94, 1291, 599 , 176.26 , 10062.71
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,25682449,52.40, 1.75, 0:04.11, 1315, 599 , 169.68 , 10279.85
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,29405595,55.69, 1.62, 0:04.00, 1429, 599 , 175.48 , 11770.10
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,19162386,44.42, 1.43, 0:02.79, 1640, 599 , 262.12 , 7670.08
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,55267276,13.37, 0.93, 0:01.92, 742, 599 , 434.76 , 22121.69
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,20464236,50.97, 1.43, 0:03.02, 1730, 599 , 247.14 , 8191.17
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,20468302,64.46, 1.40, 0:03.52, 1867, 599 , 198.71 , 8192.80
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,19950774,48.52, 1.52, 0:03.17, 1578, 599 , 231.78 , 7985.65
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,25553017,62.80, 1.62, 0:04.42, 1457, 599 , 156.34 , 10228.04
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,22088318,52.60, 1.11, 0:06.75, 794, 599 , 96.66 , 8841.24
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,42394343,60.88, 1.42, 0:06.51, 956, 599 , 100.75 , 16969.08
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,22012453,45.94, 1.15, 0:04.91, 958, 599 , 137.74 , 8810.87
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,27553658,338.64, 1.83, 0:22.21, 1532, 599 , 27.72 , 11028.83
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,39957695,680.10, 2.12, 0:32.74, 2083, 599 , 18.64 , 15993.77
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,39440376,314.82, 1.93, 0:18.09, 1750, 599 , 34.20 , 15786.70
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,55352584,13.61, 1.08, 0:01.92, 764, 599 , 436.69 , 22155.84
