configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,34281844,13.15,1.0, 0:02.08,678,600,396.14,13712.74
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,9786797,41.55,1.5, 0:03.91,1099,600,178.59,3914.72
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,5482694,32.67,1.42, 0:02.94,1159,600,252.53,2193.08
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,5483059,41.25,1.28, 0:02.87,1477,600,258.18,2193.22
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,8676603,64.24,1.73, 0:05.07,1299,600,135.94,3470.64
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,9137144,48.06,1.38, 0:03.24,1524,600,232.08,3654.86
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,14560962,31.26,1.5, 0:03.66,894,600,193.7,5824.38
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,14070514,28.18,1.54, 0:03.39,875,600,221.94,5628.21
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9775648,29.17,1.58, 0:03.11,987,600,247.4,3910.26
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9662925,31.49,1.43, 0:03.27,1005,600,230.82,3865.17
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,8056481,28.73,1.61, 0:03.08,984,600,247.89,3222.59
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,22250630,19.15,1.36, 0:02.19,935,600,393.02,8900.25
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,9132187,57.86,1.32, 0:03.84,1539,600,188.65,3652.87
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,9858496,47.54,1.59, 0:03.75,1309,600,194.32,3943.4
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9776137,49.55,1.47, 0:03.63,1403,600,203.89,3910.45
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,9535826,44.39,1.28, 0:03.27,1394,600,220.44,3814.33
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,8102336,60.52,1.52, 0:04.10,1512,600,174.49,3240.93
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,10153451,54.03,1.64, 0:04.88,1140,600,141.95,4061.38
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9780136,47.83,1.61, 0:03.72,1327,600,196.43,3912.05
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,11316781,51.38,1.51, 0:03.98,1328,600,180.54,4526.71
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,9077630,50.19,1.84, 0:03.52,1476,600,211.98,3631.05
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,8843146,50.16,1.85, 0:03.84,1352,600,189.15,3537.26
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,22250630,19.62,1.22, 0:02.21,941,600,388.94,8900.25
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,7640826,47.58,1.92, 0:03.65,1355,600,194.15,3056.33
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,9297693,50.81,1.89, 0:03.95,1332,600,177.46,3719.08
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,9254028,55.82,1.72, 0:05.60,1026,600,118.83,3701.61
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,6398387,48.88,1.93, 0:03.46,1467,600,214.83,2559.35
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,6398388,50.04,1.9, 0:03.15,1645,600,242.34,2559.36
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,6403193,49.83,1.84, 0:03.36,1536,600,222.17,2561.28
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9303935,31.6,1.68, 0:03.00,1109,600,260.07,3721.57
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,9359166,37.75,1.79, 0:03.20,1234,600,236.6,3743.67
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,10642872,42.05,1.74, 0:03.46,1265,600,212.98,4257.15
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,8889239,35.15,1.9, 0:02.82,1314,600,282.3,3555.7
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,34152539,12.46,1.17, 0:02.06,660,600,397.68,13661.01
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,8944563,39.78,1.43, 0:02.73,1509,600,276.47,3577.83
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,8900262,47.38,1.65, 0:02.94,1664,600,251.66,3560.1
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,8772375,35.17,1.43, 0:02.62,1395,600,289.23,3508.95
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,9780136,47.74,1.41, 0:03.39,1448,600,212.83,3912.05
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,18664926,46.77,1.31, 0:04.39,1093,600,159.66,7465.97
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,8698393,39.27,1.51, 0:04.12,987,600,171.98,3479.36
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,18467577,45.42,1.35, 0:03.56,1312,600,204.91,7387.03
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,10727181,333.54,1.99, 0:24.76,1354,600,24.91,4290.87
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,7852634,875.41,1.98, 0:36.46,2406,600,16.77,3141.05
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,7361111,161.48,1.96, 0:11.11,1470,600,57.37,2944.44
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,34281844,13.01,1.23, 0:02.09,681,600,404.39,13712.74
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,8316789,140.46,1.67, 0:07.14,1989,600,91.26,3326.72
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,17124368,227.78,1.45, 0:15.45,1483,600,40.3,6849.75
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,8021749,107.5,1.75, 0:13.04,837,600,48.07,3208.7
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20215803,307.31,1.56, 0:24.20,1276,600,25.38,8086.32
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,11323406,102.93,1.76, 0:10.03,1042,600,64.14,4529.36
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,9801092,72.92,1.73, 0:06.01,1240,600,112.39,3920.44
