configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,84396613,78.27,9.47, 0:22.12,396,1199,71.41,33753.05
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,18250684,282.12,13.13, 0:30.51,967,1199,48.65,7299.06
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,11415999,216.65,12.15, 0:26.77,854,1199,56.28,4565.64
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,12309745,275.94,11.34, 0:27.26,1053,1199,54.63,4923.08
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,21206461,426.75,13.25, 0:33.00,1333,1199,44.38,8481.18
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,22796173,315.47,12.6, 0:31.60,1037,1199,47.2,9116.96
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,31845533,156.45,11.99, 0:30.02,561,1199,49.9,12736.1
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,33448032,174.58,12.27, 0:30.16,619,1199,49.9,13376.99
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,16693557,210.96,12.46, 0:32.37,690,1199,45.96,6676.32
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,18129908,220.93,12.02, 0:31.12,748,1199,47.47,7250.76
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,16367282,200.33,9.66, 0:27.30,769,1199,54.38,6545.83
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,38768176,122.11,11.43, 0:26.47,504,1199,58.98,15504.7
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,24688509,367.19,11.39, 0:31.75,1192,1199,46.86,9873.77
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,20606143,329.72,12.65, 0:32.62,1049,1199,44.41,8241.09
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,20372115,349.81,12.12, 0:30.43,1189,1199,48.24,8147.5
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,18823434,315.39,11.34, 0:28.77,1135,1199,51.16,7528.13
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,19348305,396.29,13.06, 0:33.76,1212,1199,42.97,7738.04
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,20014781,362.18,9.52, 0:30.15,1232,1199,48.58,8004.59
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,20315795,329.68,12.14, 0:32.29,1058,1199,44.77,8124.97
