configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,185253597,152.65,69.92, 2:36.11,142,600,5.16,74027.34
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,73250131,372.72,74.03, 2:39.66,279,600,5.03,29270.75
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,40791749,316.45,73.85, 2:40.97,242,600,5.01,16300.38
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,41953960,357.57,73.91, 2:38.68,271,600,5.07,16764.8
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,89742920,630.49,72.93, 2:41.93,434,600,4.99,35861.27
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,93898037,423.56,70.7, 2:39.80,309,600,5.0,37521.66
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,91716558,269.03,69.89, 2:39.32,212,600,5.1,36649.94
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,92672919,263.46,69.62, 2:37.73,211,600,5.11,37032.1
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,71447785,309.01,71.34, 2:37.53,241,600,5.16,28550.54
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,74114227,318.6,69.92, 2:38.82,244,600,5.05,29616.05
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,67289667,298.92,75.71, 2:45.26,226,600,4.88,26888.95
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,100857572,197.42,69.54, 2:34.26,173,600,5.22,40302.69
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,94032902,526.54,69.62, 2:37.40,378,600,5.09,37575.55
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,82082485,431.47,71.0, 2:38.76,316,600,5.04,32800.16
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,81725574,456.5,75.48, 2:47.38,317,600,4.75,32657.54
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,70744076,400.51,70.63, 2:39.16,296,600,5.01,28269.33
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,73857570,470.89,70.36, 2:38.37,341,600,5.05,29513.49
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,79826145,510.83,68.9, 2:38.78,365,600,5.04,31898.53
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,81489386,435.17,70.18, 2:39.07,317,600,5.02,32563.16
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,90293406,433.39,69.63, 2:36.93,320,600,5.1,36081.25
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,63913985,472.37,82.38, 2:41.79,342,600,4.9,25540.03
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,62320798,471.64,80.86, 2:46.37,332,600,4.73,24903.39
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,100857572,194.55,71.41, 2:36.28,170,600,5.13,40302.69
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,56821100,436.59,80.89, 2:47.09,309,600,4.72,22705.71
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,63906834,467.27,79.0, 2:44.97,331,600,4.76,25537.17
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,63054724,533.44,74.39, 2:41.94,375,600,4.88,25196.67
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,54942660,441.75,79.31, 2:44.31,317,600,4.82,21955.09
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,54942661,437.92,77.11, 2:42.53,316,600,4.86,21955.09
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,57772812,445.11,76.97, 2:44.64,317,600,4.81,23086.02
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,69364236,323.62,74.14, 2:45.32,240,600,4.75,27717.95
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,71720304,346.74,76.72, 2:48.66,251,600,4.65,28659.43
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,79003096,361.9,78.37, 2:53.77,253,600,4.49,31569.64
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,78777398,333.2,76.26, 2:48.35,243,600,4.68,31479.45
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,184666557,149.66,70.74, 2:38.22,139,600,5.05,73792.76
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,87751021,358.2,74.65, 2:45.61,261,600,4.77,35065.31
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,86649054,396.82,74.58, 2:45.35,285,600,4.76,34624.96
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,85634172,341.13,75.55, 2:47.69,248,600,4.69,34219.42
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,81489386,429.16,76.93, 2:49.20,299,600,4.65,32563.16
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,120615309,487.01,73.17, 2:41.98,345,600,4.92,48197.88
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,93892352,366.83,72.94, 2:42.12,271,600,4.88,37519.39
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,115729926,378.56,74.45, 2:43.02,277,600,4.87,46245.68
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,83435679,2096.99,73.86, 2:53.27,1252,600,4.49,33340.9
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,68872080,3443.1,77.84, 3:06.08,1892,600,4.12,27521.28
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,61132589,1161.08,76.04, 2:47.40,739,600,4.77,24428.58
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,185253597,149.97,73.0, 2:37.66,141,600,5.14,74027.34
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,74873756,920.35,75.06, 2:46.72,597,600,4.79,29919.55
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,108676487,1634.32,75.21, 2:48.71,1013,600,4.72,43427.13
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,93927150,1037.36,74.9, 2:46.49,668,600,4.79,37533.29
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,119071865,1936.24,74.44, 2:50.03,1182,600,4.67,47581.12
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,85030561,768.11,76.65, 2:48.77,500,600,4.72,33978.21
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,79052653,615.73,75.52, 2:46.62,414,600,4.78,31589.44
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,83388984,371.62,74.98, 2:45.16,270,600,4.84,33322.24
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,90294697,731.26,74.86, 2:44.87,488,600,4.83,36081.76
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,91298526,749.72,75.18, 2:45.18,499,600,4.83,36482.89
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,91692634,472.46,74.8, 2:44.36,332,600,4.85,36640.38
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,185253597,152.3,72.85, 2:39.00,141,600,5.08,74027.34
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,102529919,871.86,76.25, 2:46.86,568,600,4.79,40970.96
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,92935894,641.68,74.7, 2:45.75,432,600,4.82,37137.19
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,93491270,648.63,75.61, 2:44.88,439,600,4.83,37359.11
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,93123538,643.92,75.92, 2:45.83,434,600,4.81,37212.17
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,81678391,450.14,75.57, 2:45.04,318,600,4.84,32638.69
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,83633221,581.41,74.45, 2:44.35,399,600,4.86,33419.84
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,76483850,1195.02,74.97, 2:49.95,747,600,4.64,30562.95
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,81252054,980.92,75.11, 2:49.29,623,600,4.68,32468.32
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,79966891,1454.28,76.92, 2:53.70,881,600,4.54,31954.77
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,75880013,834.81,78.82, 2:50.78,534,600,4.64,30321.65
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,185253597,150.37,73.36, 2:39.71,140,600,5.07,74027.34
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,70389307,420.87,76.91, 2:49.85,293,600,4.68,28127.57
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,96200525,944.65,78.0, 2:49.97,601,600,4.66,38441.73
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,102158961,862.03,74.76, 2:42.11,577,600,4.94,40822.72
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,100149148,458.14,74.05, 2:45.02,322,600,4.85,40019.6
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,80343489,569.33,78.19, 2:46.90,387,600,4.78,32105.26
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,108944863,664.27,74.36, 2:43.98,450,600,4.9,43534.37
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,97219609,433.03,73.81, 2:43.00,310,600,4.92,38848.96
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,71360660,708.44,76.11, 2:45.25,474,600,4.86,28515.72
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,70093555,763.13,75.12, 2:45.77,505,600,4.81,28009.39
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,78064113,956.18,74.72, 2:48.06,613,600,4.73,31194.42
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,185129441,152.21,72.64, 2:38.57,141,600,5.13,73977.73
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,81084227,972.71,74.59, 2:47.80,624,600,4.74,32401.26
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,74480720,829.19,74.69, 2:45.95,544,600,4.8,29762.5
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,79852747,274.93,77.85, 2:46.00,212,600,4.8,31909.16
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,100476681,495.33,77.28, 2:47.39,342,600,4.77,40150.48
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,79852747,280.06,76.43, 2:47.40,212,600,4.76,31909.16
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,80851077,1567.07,286.55, 3:34.02,866,600,3.46,32308.09
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,78510228,621.91,105.75, 2:49.96,428,600,4.59,31372.69
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,75580633,2100.66,112.25, 3:01.79,1217,600,4.24,30202.02
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,74663287,832.92,72.98, 2:44.99,549,600,4.8,29835.45
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,80989016,899.11,74.0, 2:47.26,581,600,4.72,32363.21
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,136926657,176.5,71.29, 2:38.53,156,600,5.04,54715.89
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,73736879,941.12,72.56, 2:43.51,619,600,4.83,29465.26
182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,80718591,959.16,72.88, 2:44.76,626,600,4.79,32255.15
183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,70309244,2000.32,83.02, 2:57.63,1172,600,4.36,28095.58
184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,67096035,1713.23,83.66, 2:54.46,1029,600,4.45,26811.58
185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,72883133,2028.33,83.81, 2:57.82,1187,600,4.35,29124.1
186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,73578991,1478.79,83.73, 2:53.14,902,600,4.5,29402.17
187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,74219581,2383.12,83.75, 3:00.35,1367,600,4.29,29658.15
