configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,34096194,41.41,22.41, 0:21.02,303,1543,83.68,15556.53
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,16511254,148.97,26.56, 0:24.66,711,1543,70.72,7533.33
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,17895326,125.01,10.88, 0:14.27,952,1543,133.44,8164.82
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,17735440,144.95,11.84, 0:14.54,1078,1543,131.27,8091.87
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,19502679,240.41,11.3, 0:17.11,1470,1543,108.06,8898.18
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,20812860,170.17,10.74, 0:14.97,1208,1543,126.01,9495.95
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20432925,90.84,9.92, 0:13.43,750,1543,143.51,9322.61
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,22691799,121.64,10.55, 0:14.17,932,1543,136.47,10353.23
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,15941400,121.49,10.75, 0:14.52,910,1543,131.07,7273.33
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,16605459,133.98,10.39, 0:15.13,954,1543,125.0,7576.31
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,19151349,123.26,11.32, 0:15.18,886,1543,124.99,8737.88
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,28291948,70.7,8.94, 0:11.43,696,1543,178.86,12908.32
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,21966469,187.14,8.55, 0:15.21,1286,1543,122.76,10022.29
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,16203814,166.61,12.42, 0:17.07,1048,1543,108.34,7393.06
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,15816067,175.49,11.6, 0:16.57,1129,1543,112.37,7216.15
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,15768525,160.97,11.05, 0:16.51,1041,1543,112.41,7194.45
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,18405281,198.88,11.31, 0:17.25,1217,1543,106.61,8397.48
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,16075060,175.33,9.51, 0:17.15,1077,1543,107.53,7334.31
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,16066796,168.66,9.56, 0:15.41,1156,1543,121.88,7330.54
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,19159093,167.25,10.96, 0:15.29,1165,1543,122.7,8741.41
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,15675628,171.58,71.24, 0:28.43,853,1543,60.16,7152.07
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,15431345,167.76,16.21, 0:16.38,1122,1543,114.35,7040.61
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,28291948,72.97,10.36, 0:13.08,636,1543,150.12,12908.32
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,18672941,163.88,17.65, 0:17.53,1035,1543,104.86,8519.61
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,15709196,168.05,14.91, 0:15.65,1169,1543,119.6,7167.38
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,16122995,176.14,12.24, 0:18.19,1035,1543,99.79,7356.18
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,22277125,172.23,14.27, 0:14.78,1261,1543,127.69,10164.03
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,22282325,173.14,14.43, 0:15.80,1186,1543,117.91,10166.4
