configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,132358136,29.99,2.77, 0:04.73,692,1199,341.47,52934.48
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,88261308,133.35,2.99, 0:12.92,1055,1199,100.89,35298.67
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,138701088,122.23,2.78, 0:09.74,1283,1199,137.98,55471.24
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,139198683,150.4,2.98, 0:10.26,1493,1199,132.18,55670.24
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,49544102,236.49,3.91, 0:13.20,1820,1199,102.69,19814.36
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,49966231,147.71,3.08, 0:08.87,1698,1199,156.59,19983.18
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,110021450,109.03,2.45, 0:08.16,1364,1199,170.98,44001.28
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,107500453,123.64,2.31, 0:08.39,1500,1199,162.97,42993.05
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,83954731,94.59,2.98, 0:10.27,950,1199,132.22,33576.33
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,86991710,109.77,3.19, 0:09.37,1204,1199,146.78,34790.92
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,138252727,117.26,3.14, 0:10.44,1152,1199,129.97,55291.92
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,100919291,40.42,2.83, 0:04.28,1008,1199,385.06,40361.02
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,50495469,156.77,2.84, 0:14.39,1108,1199,91.01,20194.84
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,87980644,138.41,3.44, 0:11.62,1220,1199,115.26,35186.42
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,87362022,174.75,3.34, 0:12.33,1443,1199,107.83,34939.02
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,84263015,126.54,3.22, 0:10.59,1225,1199,127.61,33699.62
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,138218137,170.55,3.16, 0:11.60,1497,1199,115.27,55278.09
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,88316082,188.85,3.22, 0:17.67,1086,1199,72.62,35320.58
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,87977400,142.67,3.29, 0:11.32,1288,1199,118.7,35185.13
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,94629256,145.04,3.16, 0:11.32,1308,1199,118.26,37845.43
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,86831311,136.13,3.39, 0:11.99,1162,1199,109.48,34726.77
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,86822845,138.57,3.59, 0:11.38,1249,1199,117.76,34723.38
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,100919291,43.84,2.84, 0:04.66,1001,1199,345.62,40361.02
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,138237552,137.65,3.75, 0:11.63,1215,1199,114.9,55285.85
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,86802107,133.35,3.49, 0:11.60,1179,1199,114.81,34715.09
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,85093181,176.41,2.98, 0:19.45,921,1199,65.04,34031.63
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,68022288,130.17,3.46, 0:09.43,1416,1199,145.35,27204.4
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,68603773,125.53,3.02, 0:09.50,1353,1199,143.76,27436.96
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,68289299,128.13,3.25, 0:09.31,1411,1199,145.13,27311.19
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,87987907,112.97,3.33, 0:08.83,1315,1199,153.57,35189.33
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,88702930,121.72,3.74, 0:09.01,1392,1199,153.36,35475.29
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,94965426,137.49,3.57, 0:09.96,1415,1199,137.19,37979.87
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,48136192,100.86,3.16, 0:06.75,1539,1199,214.56,19251.28
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,132218666,28.51,1.96, 0:03.98,764,1199,403.61,52878.7
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,48990989,117.63,3.6, 0:07.30,1659,1199,197.1,19593.15
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,49072119,135.89,3.8, 0:07.72,1809,1199,184.05,19625.59
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,48363241,106.14,3.11, 0:06.99,1561,1199,205.21,19342.09
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,87977400,141.67,3.25, 0:10.64,1361,1199,127.08,35185.13
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,61382927,133.98,2.17, 0:12.10,1124,1199,109.18,24549.1
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,148205479,133.57,2.24, 0:11.09,1224,1199,119.07,59272.36
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,60582459,100.34,2.34, 0:08.77,1170,1199,157.81,24228.97
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,87584574,1094.48,3.13, 0:58.94,1862,1199,20.75,35028.02
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,128904742,1619.85,3.76, 1:13.21,2217,1199,16.66,51553.35
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,130242348,674.55,3.6, 0:35.62,1903,1199,34.84,52088.3
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,132358136,29.82,2.17, 0:04.08,784,1199,405.76,52934.48
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,138570076,355.44,3.36, 0:21.50,1668,1199,58.62,55418.84
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,55364981,558.23,3.06, 0:38.92,1441,1199,31.65,22142.32
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,139292695,556.0,3.05, 0:39.58,1412,1199,31.19,55707.84
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,61445097,585.93,2.43, 0:47.71,1233,1199,25.69,24573.96
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,94744297,358.39,3.39, 0:25.48,1419,1199,49.43,37891.44
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,88090515,229.45,3.16, 0:15.39,1510,1199,84.23,35230.36
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,148857756,156.12,3.38, 0:12.54,1272,1199,105.96,59533.23
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,78506440,319.71,2.8, 0:25.37,1271,1199,49.39,31397.37
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,78620740,330.23,3.09, 0:26.03,1280,1199,48.32,31443.08
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,50440259,149.38,2.95, 0:09.84,1547,1199,138.77,20172.76
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,132358136,27.06,2.42, 0:04.06,724,1199,408.18,52934.48
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,56957752,323.37,3.14, 0:23.55,1386,1199,53.65,22779.32
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,50789791,220.23,2.98, 0:14.39,1551,1199,90.92,20312.55
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,50773631,219.45,3.21, 0:14.13,1575,1199,92.86,20306.09
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,50772810,217.96,2.94, 0:14.13,1562,1199,92.96,20305.76
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,49488343,134.03,2.77, 0:08.70,1571,1199,156.92,19792.06
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,71506224,213.42,2.58, 0:13.91,1551,1199,93.03,28597.75
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,79760210,559.26,2.91, 0:35.78,1570,1199,34.56,31898.8
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,86424238,415.9,3.83, 0:31.56,1329,1199,39.47,34563.96
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,86505896,616.74,3.41, 0:34.04,1821,1199,36.38,34596.62
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,86444157,463.47,3.61, 0:22.08,2115,1199,57.08,34571.93
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,132358136,28.36,2.48, 0:04.19,734,1199,398.38,52934.48
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,81644915,141.95,3.47, 0:16.81,864,1199,76.93,32652.55
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,49014095,426.58,3.94, 0:20.71,2078,1199,61.44,19602.39
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,82076547,397.21,3.28, 0:27.98,1431,1199,44.72,32825.18
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,156992881,258.51,2.65, 0:19.89,1312,1199,63.82,62786.74
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,74122133,215.44,3.47, 0:14.12,1549,1199,92.08,29643.94
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,91037604,261.05,2.86, 0:19.02,1387,1199,66.65,36409.0
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,82938140,142.68,2.22, 0:12.03,1203,1199,109.19,33169.76
