configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,118506921,44.85,5.65, 0:10.16,496,480,60.64,47355.41
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,75271944,191.47,7.94, 0:17.30,1152,480,32.85,30078.7
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,53947789,160.82,6.83, 0:14.19,1181,480,41.52,21557.56
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,54886774,200.13,6.73, 0:14.42,1433,480,40.66,21932.78
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,96649712,430.76,5.87, 0:15.05,2900,480,36.87,38621.26
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,97935377,264.95,5.49, 0:12.85,2103,480,44.46,39135.01
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,83762158,141.79,5.47, 0:12.51,1176,480,48.21,33471.39
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,82762167,150.59,5.48, 0:12.84,1215,480,46.66,33071.79
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,71676936,159.02,5.37, 0:14.15,1161,480,39.27,28642.13
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,68770900,168.1,5.67, 0:14.06,1235,480,39.63,27480.88
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,51457058,152.11,5.33, 0:14.17,1110,480,39.35,20562.26
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,82352463,70.34,5.2, 0:09.11,829,480,68.02,32908.08
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,97586178,357.58,5.29, 0:14.39,2521,480,38.72,38995.47
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,76575684,236.95,5.26, 0:15.96,1517,480,34.29,30599.67
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,75876865,275.67,5.34, 0:15.97,1758,480,34.29,30320.42
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,69975175,210.17,5.55, 0:15.39,1401,480,36.06,27962.11
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,58604865,266.93,5.3, 0:15.73,1729,480,35.06,23418.53
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,77569778,323.66,6.05, 0:19.86,1660,480,27.79,30996.91
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,76575636,236.98,6.5, 0:16.44,1480,480,34.51,30599.65
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,84173544,244.03,6.07, 0:16.42,1522,480,34.49,33635.78
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,68416530,242.28,9.14, 0:18.94,1326,480,29.26,27339.27
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,68409866,233.39,8.83, 0:17.03,1422,480,31.82,27336.61
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,82352463,71.39,4.98, 0:09.90,771,480,60.01,32908.08
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,49958701,207.32,9.05, 0:17.86,1211,480,30.39,19963.52
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,68434864,233.44,9.18, 0:19.02,1275,480,29.22,27346.6
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,72112787,274.37,7.14, 0:24.26,1160,480,22.1,28816.3
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,65715347,227.84,8.26, 0:14.56,1621,480,39.83,26259.88
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,68146519,226.73,9.31, 0:15.68,1504,480,36.43,27231.37
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,66611753,230.52,8.88, 0:14.09,1699,480,39.63,26618.08
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,73074076,183.27,7.87, 0:16.44,1162,480,34.71,29200.43
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,74594921,191.38,7.29, 0:16.14,1230,480,35.51,29808.16
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,77383891,199.99,7.06, 0:15.17,1364,480,37.96,30922.63
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,90627813,176.91,6.03, 0:11.44,1597,480,50.82,36214.91
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,118231773,45.77,4.61, 0:09.14,550,480,66.52,47245.46
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,95034862,204.09,6.04, 0:11.75,1787,480,49.08,37975.97
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,94964105,240.66,6.31, 0:12.26,2013,480,46.78,37947.69
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,94168387,195.16,5.89, 0:11.37,1768,480,51.21,37629.72
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,76575636,240.43,6.36, 0:16.73,1474,480,34.02,30599.65
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,100960944,294.62,4.96, 0:14.49,2066,480,39.79,40344.03
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,58837151,204.7,5.49, 0:13.41,1566,480,43.59,23511.35
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,99499389,198.28,4.97, 0:11.94,1701,480,48.13,39759.99
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,81512075,1596.38,5.56, 0:46.26,3462,480,10.86,32572.26
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,50508975,2178.67,6.63, 1:08.97,3168,480,7.22,20183.41
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,56568877,813.68,6.63, 0:27.15,3021,480,19.2,22604.94
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,118506921,47.08,4.32, 0:09.31,551,480,65.15,47355.41
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,60089707,557.77,6.59, 0:22.89,2465,480,23.74,24011.87
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,92238523,1108.29,5.76, 0:46.08,2417,480,10.9,36858.55
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,58157592,727.08,5.61, 0:32.37,2263,480,15.86,23239.8
