configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,33468919,5.76,0.8, 0:01.16,562,500,601.67,13387.57
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,9289491,20.78,0.74, 0:02.75,781,500,206.15,3715.8
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,11610548,21.79,1.04, 0:02.57,888,500,221.86,4644.22
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,11749416,24.72,0.99, 0:02.56,1001,500,222.55,4699.77
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,7037798,36.25,1.16, 0:03.00,1245,500,187.3,2815.12
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,7670932,22.59,0.96, 0:02.16,1089,500,274.41,3068.37
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,17691243,22.7,0.9, 0:02.28,1031,500,251.58,7076.5
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,16252493,20.1,1.04, 0:02.07,1019,500,287.85,6501.0
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9013859,16.72,0.87, 0:02.31,761,500,252.86,3605.54
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,8910825,18.22,1.06, 0:02.37,812,500,244.59,3564.33
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,13302123,19.14,1.02, 0:02.34,860,500,249.88,5320.85
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13097124,7.13,0.61, 0:01.05,735,500,643.53,5238.85
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,7192513,26.32,0.84, 0:03.02,899,500,182.88,2877.01
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,9778896,24.27,0.82, 0:02.65,946,500,215.6,3911.56
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9753291,27.97,0.86, 0:02.68,1073,500,213.75,3901.32
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,9008697,21.74,0.94, 0:02.48,912,500,228.69,3603.48
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,14441146,29.51,0.86, 0:02.65,1144,500,215.87,5776.46
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,9793327,28.62,1.07, 0:04.08,727,500,133.33,3917.33
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,9753126,24.58,0.85, 0:02.60,976,500,217.4,3901.25
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,10455365,25.1,1.01, 0:02.57,1013,500,223.15,4182.15
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,8406455,25.37,0.79, 0:03.25,804,500,171.91,3362.58
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,8311014,25.67,0.91, 0:03.17,838,500,173.98,3324.41
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13097124,7.22,0.79, 0:01.12,714,500,613.25,5238.85
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,12709821,25.92,0.91, 0:03.17,844,500,175.9,5083.93
