configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,32218832,7.17,0.94, 0:01.42,568,599,585.34,12896.15
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,22399703,31.53,1.09, 0:03.92,831,599,169.9,8965.87
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,24873279,30.08,1.26, 0:03.16,991,599,216.56,9955.97
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,24894573,35.59,1.18, 0:03.19,1149,599,214.09,9964.49
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,19960419,64.14,1.67, 0:04.95,1329,599,131.46,7989.51
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,20348019,42.23,1.16, 0:03.64,1189,599,184.91,8144.65
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,30105174,27.66,1.04, 0:02.49,1149,599,279.15,12050.12
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,28790914,30.52,1.11, 0:02.78,1136,599,252.5,11524.07
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,21024168,27.25,1.34, 0:03.60,793,599,187.46,8415.29
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,21972914,29.36,1.22, 0:03.52,867,599,187.76,8795.04
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,26005653,30.41,1.15, 0:03.39,930,599,196.04,10409.22
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,23637532,9.63,0.77, 0:01.28,810,599,630.2,9461.34
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,19547940,52.06,1.27, 0:05.44,980,599,118.88,7824.41
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,22395985,37.9,1.11, 0:04.19,931,599,158.32,8964.38
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,22247967,43.89,1.1, 0:04.06,1106,599,163.99,8905.14
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,20625978,33.62,1.05, 0:03.76,922,599,178.37,8255.91
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,25249267,46.71,0.97, 0:04.19,1136,599,158.72,10106.46
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,22112289,56.78,1.45, 0:06.37,913,599,99.4,8850.83
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,22397314,38.51,1.16, 0:03.98,996,599,167.58,8964.92
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,26276021,38.53,1.13, 0:03.92,1011,599,170.23,10517.44
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,21493713,36.69,1.14, 0:04.34,871,599,151.77,8603.23
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,21499746,36.12,1.23, 0:03.99,935,599,166.72,8605.65
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,23637532,10.04,0.89, 0:01.38,791,599,601.43,9461.34
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,25663475,36.32,1.19, 0:04.16,901,599,159.68,10272.25
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,21538163,35.21,1.36, 0:04.16,879,599,158.71,8621.03
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,21694662,51.66,1.07, 0:06.50,810,599,98.0,8683.67
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,19694452,34.23,1.26, 0:03.29,1077,599,207.24,7883.05
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,20056265,34.63,1.26, 0:03.56,1007,599,190.82,8027.87
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,19962051,34.65,1.18, 0:03.22,1112,599,212.43,7990.16
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,22069760,29.87,1.25, 0:02.83,1097,599,245.93,8833.81
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,22245170,32.07,1.12, 0:03.04,1091,599,227.31,8904.02
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,25420284,33.14,1.02, 0:02.98,1143,599,233.35,10174.91
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,18892495,26.36,1.22, 0:02.20,1252,599,323.19,7562.05
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,32076651,7.08,0.98, 0:01.37,585,599,606.68,12839.24
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,20098996,29.91,1.14, 0:02.49,1247,599,289.86,8044.97
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,20105904,34.51,1.29, 0:02.74,1303,599,256.1,8047.74
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,19926001,28.99,1.39, 0:02.42,1253,599,296.94,7975.73
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,22397314,38.04,1.04, 0:03.92,995,599,170.28,8964.92
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20720567,41.37,1.11, 0:05.37,790,599,120.4,8293.77
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,27926618,37.94,1.24, 0:04.55,860,599,144.19,11178.12
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20563498,31.12,0.98, 0:03.54,905,599,190.85,8230.9
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,23526778,268.36,1.15, 0:19.37,1390,599,31.6,9417.0
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,25001004,440.2,1.31, 0:29.21,1511,599,20.81,10007.09
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,24049422,172.61,1.18, 0:12.40,1401,599,49.91,9626.2
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,32218832,7.31,0.94, 0:01.37,599,599,607.89,12896.15
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,25095393,100.09,1.11, 0:07.78,1300,599,81.36,10044.87
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,18689509,170.03,1.65, 0:15.55,1104,599,39.4,7480.8
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,27146716,156.25,1.72, 0:15.49,1019,599,39.68,10865.95
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,21031848,180.09,1.59, 0:17.77,1022,599,34.47,8418.37
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,25860481,100.82,1.33, 0:09.06,1126,599,69.23,10351.11
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,21966839,73.73,1.18, 0:06.54,1145,599,97.77,8792.61
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,29791869,39.85,1.06, 0:03.58,1140,599,184.66,11924.72
