configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3164,0.042
1,50%,xz,-3,1,3156,0.034
10,100%,xz,-9,1,3028,0.042
11,50%,lzma,-6,16,2981,0.04
12,75%,xz,-3,32,3164,0.04
13,50%,lzma,-3,16,3111,0.033
14,50%,lzma,-6,32,2981,0.039
15,50%,xz,-6,32,3036,0.04
16,75%,lzma,-3,16,3111,0.032
17,75%,lzma,-6,32,2981,0.039
18,100%,lzma,-6,1,2981,0.04
19,75%,lzma,-3,1,3111,0.033
2,75%,xz,-9,16,3036,0.046
20,75%,lzma,-6,1,2981,0.04
21,75%,lzma,-6,16,2981,0.038
22,100%,xz,-9,32,3036,0.043
23,100%,xz,-9,16,3036,0.046
24,50%,lzma,-9,32,2981,0.04
25,50%,lzma,-3,32,3111,0.034
26,100%,xz,-3,1,3156,0.039
27,100%,lzma,-9,16,2981,0.044
28,100%,lzma,-3,1,3111,0.034
29,50%,lzma,-6,1,2981,0.04
3,100%,xz,-6,32,3036,0.044
4,50%,lzma,-3,1,3111,0.037
5,75%,xz,-3,1,3156,0.035
6,100%,lzma,-6,16,2981,0.041
7,75%,xz,-6,32,3036,0.046
8,50%,xz,-3,32,3164,0.04
9,75%,xz,-9,32,3036,0.043
