configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,14838428,3.135
1,50%,xz,-3,1,14777004,9.686
10,100%,xz,-9,1,13374160,27.425
11,50%,lzma,-6,16,13497551,24.222
12,75%,xz,-3,32,14838428,3.182
13,50%,lzma,-3,16,14775082,9.686
14,50%,lzma,-6,32,13497551,24.308
15,50%,xz,-6,32,13577880,12.777
16,75%,lzma,-3,16,14775082,9.685
17,75%,lzma,-6,32,13497551,24.276
18,100%,lzma,-6,1,13497551,24.13
19,75%,lzma,-3,1,14775082,9.721
2,75%,xz,-9,16,13374168,27.34
20,75%,lzma,-6,1,13497551,24.183
21,75%,lzma,-6,16,13497551,24.319
22,100%,xz,-9,32,13374168,27.385
23,100%,xz,-9,16,13374168,27.251
24,50%,lzma,-9,32,13365111,27.228
25,50%,lzma,-3,32,14775082,9.702
26,100%,xz,-3,1,14777004,9.74
27,100%,lzma,-9,16,13365111,27.373
28,100%,lzma,-3,1,14775082,9.702
29,50%,lzma,-6,1,13497551,24.404
3,100%,xz,-6,32,13577880,12.766
4,50%,lzma,-3,1,14775082,9.685
5,75%,xz,-3,1,14777004,9.741
6,100%,lzma,-6,16,13497551,24.386
7,75%,xz,-6,32,13577880,12.742
8,50%,xz,-3,32,14838428,3.173
9,75%,xz,-9,32,13374168,27.297
