configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2149748,1.252
1,50%,xz,-3,1,2131652,2.503
10,100%,xz,-9,1,1738884,11.466
11,50%,lzma,-6,16,1778958,11.253
12,75%,xz,-3,32,2149748,1.239
13,50%,lzma,-3,16,2131278,2.535
14,50%,lzma,-6,32,1778958,11.125
15,50%,xz,-6,32,1797072,8.336
16,75%,lzma,-3,16,2131278,2.503
17,75%,lzma,-6,32,1778958,11.165
18,100%,lzma,-6,1,1778958,11.143
19,75%,lzma,-3,1,2131278,2.53
2,75%,xz,-9,16,1738892,11.47
20,75%,lzma,-6,1,1778958,11.132
21,75%,lzma,-6,16,1778958,11.211
22,100%,xz,-9,32,1738892,11.496
23,100%,xz,-9,16,1738892,11.542
24,50%,lzma,-9,32,1738572,11.482
25,50%,lzma,-3,32,2131278,2.548
26,100%,xz,-3,1,2131652,2.526
27,100%,lzma,-9,16,1738572,11.479
28,100%,lzma,-3,1,2131278,2.503
29,50%,lzma,-6,1,1778958,11.2
3,100%,xz,-6,32,1797072,8.385
4,50%,lzma,-3,1,2131278,2.547
5,75%,xz,-3,1,2131652,2.499
6,100%,lzma,-6,16,1778958,11.149
7,75%,xz,-6,32,1797072,8.376
8,50%,xz,-3,32,2149748,1.253
9,75%,xz,-9,32,1738892,11.541
