configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,13068,0.045
1,50%,xz,-3,1,13060,0.046
10,100%,xz,-9,1,12504,0.066
11,50%,lzma,-6,16,12458,0.052
12,75%,xz,-3,32,13068,0.043
13,50%,lzma,-3,16,13013,0.042
14,50%,lzma,-6,32,12458,0.058
15,50%,xz,-6,32,12512,0.063
16,75%,lzma,-3,16,13013,0.043
17,75%,lzma,-6,32,12458,0.057
18,100%,lzma,-6,1,12458,0.057
19,75%,lzma,-3,1,13013,0.043
2,75%,xz,-9,16,12512,0.072
20,75%,lzma,-6,1,12458,0.053
21,75%,lzma,-6,16,12458,0.057
22,100%,xz,-9,32,12512,0.067
23,100%,xz,-9,16,12512,0.071
24,50%,lzma,-9,32,12458,0.064
25,50%,lzma,-3,32,13013,0.043
26,100%,xz,-3,1,13060,0.04
27,100%,lzma,-9,16,12458,0.064
28,100%,lzma,-3,1,13013,0.043
29,50%,lzma,-6,1,12458,0.059
3,100%,xz,-6,32,12512,0.061
4,50%,lzma,-3,1,13013,0.043
5,75%,xz,-3,1,13060,0.044
6,100%,lzma,-6,16,12458,0.06
7,75%,xz,-6,32,12512,0.059
8,50%,xz,-3,32,13068,0.047
9,75%,xz,-9,32,12512,0.07
