configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,13136,0.047
1,50%,xz,-3,1,13128,0.042
10,100%,xz,-9,1,12560,0.072
11,50%,lzma,-6,16,12516,0.056
12,75%,xz,-3,32,13136,0.039
13,50%,lzma,-3,16,13081,0.043
14,50%,lzma,-6,32,12516,0.06
15,50%,xz,-6,32,12568,0.063
16,75%,lzma,-3,16,13081,0.043
17,75%,lzma,-6,32,12516,0.061
18,100%,lzma,-6,1,12516,0.057
19,75%,lzma,-3,1,13081,0.046
2,75%,xz,-9,16,12568,0.068
20,75%,lzma,-6,1,12516,0.06
21,75%,lzma,-6,16,12516,0.056
22,100%,xz,-9,32,12568,0.074
23,100%,xz,-9,16,12568,0.074
24,50%,lzma,-9,32,12516,0.069
25,50%,lzma,-3,32,13081,0.044
26,100%,xz,-3,1,13128,0.042
27,100%,lzma,-9,16,12516,0.068
28,100%,lzma,-3,1,13081,0.041
29,50%,lzma,-6,1,12516,0.058
3,100%,xz,-6,32,12568,0.058
4,50%,lzma,-3,1,13081,0.045
5,75%,xz,-3,1,13128,0.042
6,100%,lzma,-6,16,12516,0.061
7,75%,xz,-6,32,12568,0.066
8,50%,xz,-3,32,13136,0.048
9,75%,xz,-9,32,12568,0.073
