configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,15920,0.047
1,50%,xz,-3,1,15912,0.046
10,100%,xz,-9,1,14984,0.073
11,50%,lzma,-6,16,14940,0.066
12,75%,xz,-3,32,15920,0.051
13,50%,lzma,-3,16,15867,0.046
14,50%,lzma,-6,32,14940,0.066
15,50%,xz,-6,32,14992,0.071
16,75%,lzma,-3,16,15867,0.045
17,75%,lzma,-6,32,14940,0.068
18,100%,lzma,-6,1,14940,0.071
19,75%,lzma,-3,1,15867,0.046
2,75%,xz,-9,16,14992,0.084
20,75%,lzma,-6,1,14940,0.066
21,75%,lzma,-6,16,14940,0.069
22,100%,xz,-9,32,14992,0.08
23,100%,xz,-9,16,14992,0.079
24,50%,lzma,-9,32,14940,0.073
25,50%,lzma,-3,32,15867,0.046
26,100%,xz,-3,1,15912,0.048
27,100%,lzma,-9,16,14940,0.073
28,100%,lzma,-3,1,15867,0.044
29,50%,lzma,-6,1,14940,0.065
3,100%,xz,-6,32,14992,0.07
4,50%,lzma,-3,1,15867,0.048
5,75%,xz,-3,1,15912,0.043
6,100%,lzma,-6,16,14940,0.07
7,75%,xz,-6,32,14992,0.071
8,50%,xz,-3,32,15920,0.051
9,75%,xz,-9,32,14992,0.077
