configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,79404,0.068
1,50%,xz,-3,1,79396,0.064
10,100%,xz,-9,1,76824,0.125
11,50%,lzma,-6,16,76767,0.075
12,75%,xz,-3,32,79404,0.069
13,50%,lzma,-3,16,79340,0.061
14,50%,lzma,-6,32,76767,0.078
15,50%,xz,-6,32,76832,0.082
16,75%,lzma,-3,16,79340,0.062
17,75%,lzma,-6,32,76767,0.075
18,100%,lzma,-6,1,76767,0.079
19,75%,lzma,-3,1,79340,0.06
2,75%,xz,-9,16,76832,0.137
20,75%,lzma,-6,1,76767,0.077
21,75%,lzma,-6,16,76767,0.077
22,100%,xz,-9,32,76832,0.134
23,100%,xz,-9,16,76832,0.131
24,50%,lzma,-9,32,76767,0.123
25,50%,lzma,-3,32,79340,0.062
26,100%,xz,-3,1,79396,0.061
27,100%,lzma,-9,16,76767,0.126
28,100%,lzma,-3,1,79340,0.063
29,50%,lzma,-6,1,76767,0.074
3,100%,xz,-6,32,76832,0.081
4,50%,lzma,-3,1,79340,0.063
5,75%,xz,-3,1,79396,0.064
6,100%,lzma,-6,16,76767,0.075
7,75%,xz,-6,32,76832,0.081
8,50%,xz,-3,32,79404,0.065
9,75%,xz,-9,32,76832,0.131
