configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,17820,0.048
1,50%,xz,-3,1,17812,0.044
10,100%,xz,-9,1,16720,0.083
11,50%,lzma,-6,16,16675,0.073
12,75%,xz,-3,32,17820,0.053
13,50%,lzma,-3,16,17767,0.045
14,50%,lzma,-6,32,16675,0.072
15,50%,xz,-6,32,16728,0.078
16,75%,lzma,-3,16,17767,0.044
17,75%,lzma,-6,32,16675,0.074
18,100%,lzma,-6,1,16675,0.071
19,75%,lzma,-3,1,17767,0.044
2,75%,xz,-9,16,16728,0.093
20,75%,lzma,-6,1,16675,0.073
21,75%,lzma,-6,16,16675,0.074
22,100%,xz,-9,32,16728,0.088
23,100%,xz,-9,16,16728,0.09
24,50%,lzma,-9,32,16675,0.084
25,50%,lzma,-3,32,17767,0.045
26,100%,xz,-3,1,17812,0.046
27,100%,lzma,-9,16,16675,0.086
28,100%,lzma,-3,1,17767,0.048
29,50%,lzma,-6,1,16675,0.075
3,100%,xz,-6,32,16728,0.079
4,50%,lzma,-3,1,17767,0.048
5,75%,xz,-3,1,17812,0.05
6,100%,lzma,-6,16,16675,0.077
7,75%,xz,-6,32,16728,0.08
8,50%,xz,-3,32,17820,0.051
9,75%,xz,-9,32,16728,0.087
