configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4914804,3.509
1,50%,xz,-3,1,4914796,3.44
10,100%,xz,-9,1,4489868,4.325
11,50%,lzma,-6,16,4489170,4.332
12,75%,xz,-3,32,4914804,3.501
13,50%,lzma,-3,16,4913990,3.459
14,50%,lzma,-6,32,4489170,4.276
15,50%,xz,-6,32,4489920,4.314
16,75%,lzma,-3,16,4913990,3.474
17,75%,lzma,-6,32,4489170,4.248
18,100%,lzma,-6,1,4489170,4.311
19,75%,lzma,-3,1,4913990,3.505
2,75%,xz,-9,16,4489876,4.31
20,75%,lzma,-6,1,4489170,4.241
21,75%,lzma,-6,16,4489170,4.261
22,100%,xz,-9,32,4489876,4.328
23,100%,xz,-9,16,4489876,4.312
24,50%,lzma,-9,32,4489124,4.272
25,50%,lzma,-3,32,4913990,3.466
26,100%,xz,-3,1,4914796,3.479
27,100%,lzma,-9,16,4489124,4.319
28,100%,lzma,-3,1,4913990,3.487
29,50%,lzma,-6,1,4489170,4.318
3,100%,xz,-6,32,4489920,4.275
4,50%,lzma,-3,1,4913990,3.421
5,75%,xz,-3,1,4914796,3.433
6,100%,lzma,-6,16,4489170,4.359
7,75%,xz,-6,32,4489920,4.318
8,50%,xz,-3,32,4914804,3.456
9,75%,xz,-9,32,4489876,4.274
